צורת יישוב,שם יישוב,סמל יישוב,אזור סטטיסטי,אוכלוסייה בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,"ישראלים יוצאים לחו""ל","ישראלים חוזרים מחו""ל","מאזן ישראלים יוצאים לחו""ל וחוזרים מחו""ל",הגירה בתוך יישוב בתוך אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בתוך אזורים סטטיסטיים - נכנסים,הגירה בתוך יישוב בין אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בין אזורים סטטיסטיים - נכנסים,מאזן הגירה בתוך יישוב בין אזורים סטטיסטיים,הגירה בין יישובים - יוצאים,הגירה בין יישובים - נכנסים,מאזן הגירה בין יישובים,"סה""כ גידול",אוכלוסייה בסוף שנה,אחוז גידול שנתי
,ירושלים,3000,931,"2,968",106,21,85,22,-,12,9,..,26,26,124,57,-67,121,25,-96,-32,"2,936",-1.09%
,ירושלים,3000,932,"6,194",195,19,176,52,-,35,11,-24,67,67,211,170,-41,161,57,-104,222,"6,417",3.59%
,ירושלים,3000,933,"4,651",153,7,146,33,..,8,11,..,24,24,158,104,-54,157,25,-132,-61,"4,590",-1.31%
,ירושלים,3000,934,"2,191",69,10,59,4,-,8,4,-4,7,7,92,71,-21,85,25,-60,39,"2,229",1.77%
,ירושלים,3000,1011,"4,713",75,26,49,14,..,13,10,..,53,53,178,213,35,159,108,-51,46,"4,760",0.98%
,ירושלים,3000,1012,"5,313",45,44,..,7,..,4,11,7,74,74,145,193,48,97,43,-54,17,"5,330",0.32%
,ירושלים,3000,1013,"4,637",53,56,..,..,..,13,5,-8,31,31,109,166,57,137,55,-82,-49,"4,588",-1.06%
,ירושלים,3000,1014,"3,332",57,21,36,17,-,17,6,-11,28,28,147,134,-13,104,77,-27,49,"3,381",1.47%
,ירושלים,3000,1015,"5,534",197,32,165,38,-,17,-,-17,174,174,268,192,-76,194,160,-34,58,"5,592",1.05%
,ירושלים,3000,1016,"3,874",96,18,78,5,-,..,..,..,44,44,160,98,-62,110,49,-61,21,"3,895",0.54%
,ירושלים,3000,1021,"1,185",42,5,37,13,-,..,..,..,25,25,123,103,-20,74,84,10,-34,"1,151",-2.87%
,ירושלים,3000,1022,"1,733",22,7,15,5,-,4,..,..,35,35,34,128,94,50,26,-24,57,"1,789",3.28%
,ירושלים,3000,1024,448,-,-,-,..,-,..,-,..,..,..,-,5,5,..,4,..,-104,344,-23.19%
,ירושלים,3000,1031,"7,457",231,29,202,69,-,11,8,..,101,101,345,244,-101,180,107,-73,-412,"7,045",-5.53%
,ירושלים,3000,1032,"4,132",160,12,148,13,..,8,8,-,92,92,226,184,-42,100,50,-50,9,"4,140",0.21%
,ירושלים,3000,1034,"5,109",171,36,135,27,-,7,5,..,37,37,213,203,-10,136,62,-74,-236,"4,873",-4.62%
,ירושלים,3000,1035,"5,632",110,12,98,22,-,8,..,-5,40,40,163,170,7,65,57,-8,204,"5,836",3.62%
,ירושלים,3000,1041,"2,179",25,13,12,..,-,..,..,-,7,7,67,74,7,46,36,-10,5,"2,184",0.22%
,ירושלים,3000,1042,"2,530",49,15,34,22,-,..,..,..,22,22,112,168,56,73,28,-45,64,"2,594",2.52%
,ירושלים,3000,1043,"4,537",107,11,96,73,-,..,9,6,70,70,203,291,88,90,72,-18,254,"4,791",5.59%
,ירושלים,3000,1044,"2,522",34,11,23,25,-,4,-,-4,36,36,96,97,..,50,26,-24,34,"2,555",1.35%
,ירושלים,3000,1115,"1,866",38,11,27,..,-,4,..,..,22,22,42,50,8,57,47,-10,166,"2,033",8.92%
,ירושלים,3000,1121,"2,921",61,26,35,14,..,4,..,..,4,4,70,117,47,54,36,-18,59,"2,980",2.01%
,ירושלים,3000,1122,"4,991",191,21,170,26,..,4,4,-,63,63,269,219,-50,161,92,-69,95,"5,086",1.91%
,ירושלים,3000,1123,"1,970",45,9,36,4,-,6,..,-5,9,9,104,125,21,66,24,-42,-6,"1,964",-0.29%
,ירושלים,3000,1124,"4,108",135,19,116,10,-,5,6,..,71,71,219,198,-21,97,59,-38,61,"4,169",1.47%
,ירושלים,3000,1131,"3,044",60,41,19,..,..,5,4,..,25,25,138,116,-22,78,48,-30,-205,"2,839",-6.72%
,ירושלים,3000,1132,"4,815",118,33,85,13,..,11,5,-6,85,85,205,168,-37,136,81,-55,16,"4,831",0.34%
,ירושלים,3000,1133,"1,928",30,10,20,..,-,-,..,..,6,6,84,69,-15,32,27,-5,4,"1,932",0.21%
,ירושלים,3000,1134,"1,540",16,8,8,..,-,..,6,..,17,17,37,66,29,40,41,..,58,"1,598",3.79%
,ירושלים,3000,1141,"4,653",124,43,81,..,..,9,..,-8,109,109,171,230,59,157,69,-88,103,"4,756",2.22%
,ירושלים,3000,1142,"1,976",42,23,19,..,-,9,-,-9,22,22,67,78,11,37,23,-14,33,"2,009",1.66%
,ירושלים,3000,1143,"4,438",110,22,88,8,4,20,12,-8,46,46,243,197,-46,151,81,-70,-27,"4,411",-0.60%
,ירושלים,3000,1144,"4,120",37,13,24,4,..,12,..,-10,45,45,113,138,25,122,21,-101,-85,"4,035",-2.06%
,ירושלים,3000,1145,62,..,..,..,-,..,-,-,-,-,-,..,..,..,-,-,-,4,66,6.89%
