מחוז,סמל יישוב,שם יישוב,אזור סטטיסטי,סך הכל אוכלוסייה באזור הסטטיסטי,מזה: חרדים מספרים מוחלטים,מזה: חרדים אחוזים
ירושלים,3000,ירושלים,1633,"5,621",905,16.1
ירושלים,3000,ירושלים,1634,"4,752",231,4.9
ירושלים,3000,ירושלים,1641,"3,592",569,15.8
ירושלים,3000,ירושלים,1642,"2,947",245,8.3
ירושלים,3000,ירושלים,1643,"2,690",396,14.7
ירושלים,3000,ירושלים,1644,"2,380",..,..
ירושלים,3000,ירושלים,2212,"22,912",..,..
ירושלים,3000,ירושלים,2213,"12,074",..,..
ירושלים,3000,ירושלים,2312,"30,093",..,..
ירושלים,3000,ירושלים,2411,"13,796",..,..
ירושלים,3000,ירושלים,2412,"6,331",..,..
ירושלים,3000,ירושלים,2511,"21,851",..,..
ירושלים,3000,ירושלים,2512,"3,241","1,289",39.8
ירושלים,3000,ירושלים,2513,"2,164",733,33.9
ירושלים,3000,ירושלים,2514,"3,872",..,..
ירושלים,3000,ירושלים,2611,"19,574",..,..
ירושלים,3000,ירושלים,2612,"12,492",..,..
ירושלים,3000,ירושלים,2811,"19,757",..,..
ירושלים,805,ישעי,0,806,147,18.3
ירושלים,859,כסלון,0,470,79,16.7
ירושלים,1325,כפר זוהרים,0,148,68,45.7
ירושלים,1015,מבשרת ציון,2,"5,972",..,..
ירושלים,1015,מבשרת ציון,5,"4,803",227,4.7
ירושלים,1071,נווה מיכאל,0,878,122,13.9
ירושלים,825,נס הרים,0,"1,452",..,..
ירושלים,1113,צור הדסה,0,"11,584",101,0.9
ירושלים,1137,קריית יערים,0,"6,238","6,037",96.8
ירושלים,2039,קריית יערים (מוסד),0,165,..,..
ירושלים,456,שורש,0,"1,215",..,..
הצפון,2052,אביטל,0,495,..,..
הצפון,1294,אור הגנוז,0,593,479,80.8
הצפון,4017,אלוני הבשן,0,447,..,..
הצפון,4002,אלי-עד,0,464,..,..
הצפון,682,אליקים,0,928,134,14.4
הצפון,1276,אשבל,0,139,..,..
הצפון,559,בוסתן הגליל,0,"1,302",..,..
הצפון,368,בירייה,0,816,181,22.2
הצפון,572,בית העמק,0,713,..,..
הצפון,9200,בית שאן,1,"4,426",..,..
הצפון,9200,בית שאן,3,"5,120",520,10.1
הצפון,9200,בית שאן,4,"7,134",..,..
הצפון,712,בן עמי,0,777,..,..
הצפון,1293,גבעת אבני,0,"2,084",..,..
הצפון,574,גשר הזיו,0,"1,624",..,..
הצפון,300,דלייה,0,846,..,..
